Land,Sektor,Subsektor,Von,Bis,Gas,Emissionen,Einheit,Zeit,created_date,modified_date
ATG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,281275.0,,annual,,
ATG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,289961.0,,annual,,
ATG,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,289961.0,,annual,,
ATG,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,290735.0,,annual,,
ATG,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,70748.0,,annual,,
AUS,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,191166600.0,,annual,,
AUS,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,184840630.0,,annual,,
AUS,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,187536980.0,,annual,,
AUS,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,181276730.0,,annual,,
AUS,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,173809260.0,,annual,,
AUS,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,169506170.0,,annual,,
AUS,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,161038120.0,,annual,,
AUS,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,155463800.0,,annual,,
AUS,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,148772150.0,,annual,,
AUS,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,148994810.0,,annual,,
AUS,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,36539200.0,,annual,,
AUT,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,10763500.0,,annual,,
AUT,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,9898402.0,,annual,,
AUT,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,10768719.0,,annual,,
AUT,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,9382876.0,,annual,,
AUT,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,9877180.0,,annual,,
AUT,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,7655513.0,,annual,,
AUT,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,7999731.0,,annual,,
AUT,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,8101398.0,,annual,,
AUT,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,6580121.0,,annual,,
AUT,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,6600336.0,,annual,,
AUT,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,1792326.0,,annual,,
AZE,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,14340292.0,,annual,,
AZE,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,14639082.0,,annual,,
AZE,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,13925529.0,,annual,,
AZE,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,13968590.0,,annual,,
AZE,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,14302793.0,,annual,,
AZE,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,14458807.0,,annual,,
AZE,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,15753557.0,,annual,,
AZE,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,16088920.0,,annual,,
AZE,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,16088920.0,,annual,,
AZE,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,16134468.0,,annual,,
AZE,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,4071570.0,,annual,,
BDI,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,24509.0,,annual,,
BDI,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,18638.0,,annual,,
BDI,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,60822.0,,annual,,
BDI,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,84268.0,,annual,,
BDI,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,102957.0,,annual,,
BDI,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,74274.0,,annual,,
BDI,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,100237.0,,annual,,
BDI,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,100237.0,,annual,,
BDI,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,100237.0,,annual,,
BDI,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,100508.0,,annual,,
BDI,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,25625.0,,annual,,
BEL,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,17238654.0,,annual,,
BEL,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,14474690.0,,annual,,
BEL,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,13765724.0,,annual,,
BEL,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,14279010.0,,annual,,
BEL,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,15072427.0,,annual,,
BEL,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,15479725.0,,annual,,
BEL,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,13404594.0,,annual,,
BEL,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,13389165.0,,annual,,
BEL,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,11613044.0,,annual,,
BEL,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,11395965.0,,annual,,
BEL,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,3141540.0,,annual,,
BEN,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,150960.0,,annual,,
BEN,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,184103.0,,annual,,
BEN,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,129529.0,,annual,,
BEN,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,94118.0,,annual,,
BEN,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,370106.0,,annual,,
BEN,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,690070.0,,annual,,
BEN,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,780477.0,,annual,,
BEN,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,780477.0,,annual,,
BEN,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,780477.0,,annual,,
BEN,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,782712.0,,annual,,
BEN,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,202093.0,,annual,,
BES,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,2491724.0,,annual,,
BES,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,2498550.0,,annual,,
BES,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,2491724.0,,annual,,
BES,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,2646992.0,,annual,,
BES,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,2631071.0,,annual,,
BES,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,2638279.0,,annual,,
BES,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,2631071.0,,annual,,
BES,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,3037177.0,,annual,,
BES,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,3037177.0,,annual,,
BES,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,3045498.0,,annual,,
BES,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,748893.0,,annual,,
BFA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,765271.0,,annual,,
BFA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,699785.0,,annual,,
BFA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,806321.0,,annual,,
BFA,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,1040887.0,,annual,,
BFA,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,810593.0,,annual,,
BFA,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,767865.0,,annual,,
BFA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,811881.0,,annual,,
BFA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,811881.0,,annual,,
BFA,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,811881.0,,annual,,
BFA,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,814149.0,,annual,,
BFA,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,202875.0,,annual,,
BGD,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,33786518.0,,annual,,
BGD,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,38561234.0,,annual,,
BGD,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,40406855.0,,annual,,
BGD,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,43145429.0,,annual,,
BGD,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,46027956.0,,annual,,
BGD,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,46642616.0,,annual,,
BGD,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,53156532.0,,annual,,
BGD,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,56120132.0,,annual,,
BGD,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,60091523.0,,annual,,
BGD,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,63618745.0,,annual,,
BGD,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,13806502.0,,annual,,
BGR,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,25534624.0,,annual,,
BGR,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,22587589.0,,annual,,
BGR,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,24238767.0,,annual,,
BGR,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,22580373.0,,annual,,
BGR,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,20831777.0,,annual,,
BGR,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,17381793.0,,annual,,
